name,description,category,facets,sku,variant_facets,unit_cost,currency,margin,base_margin,msrp,tier_base_discount,tier_plus_discount,volume_breaks,lead_time_days,stock_band,compat_requires,compat_blocks,bundle_components,supplier,supplier_sku,supplier_unit_cost,supplier_currency,rate,supplier_shipping_rate,vat,base_unit_cost_ngn,category_margin,base_cost_ngn,msrp_ngn,reseller_price_ngn,reseller_base,reseller_plus
EU standard Desk Stand for,"EU standard Desk Stand for central control screenGS-4CDH (Control panel accessories)EU standard Desk Stand for central control screen Suitable for model GS-TPP06, T1E-TPP01-Z, GS-T6E, GS-T2E-TPA10-M2E and T8E Control Panels. Purpose:  Allow your smart home control panel to become a desktop controller (Live wire and neutral wire are needed to connect). Specificaion: Material: PC V0 Color: Gray Dimension: 121*88.50*67.50mm1-99pcs: $3.90 100-199pcs: $3.80 200pcs+: $3.70 02.4.0775",other,"[brand:Golden Security, wireless:Bluetooth/BLE]",SI-4CDH-EU-G,"[standard:eu, color:grey]",7750,NGN,0.3,0.1,10100,0,0,,45,standard,,,,Golden Security,GS-4CDH,3.9,USD,1500,0.15,0.075,5850,0.3,5850,7750,10100,10100,10100
"8"" Touch Control Panel with tuya","8"" Touch Control Panel with tuya zigbee gateway/BLE mesh gateway+Background Music+built- in Alexa+ IR Built-in)TPA08-M3A 8 Pro-EU (European standard)Integration with Spotify enables users to enjoy avast selection of songs anytime, perfect forrelaxation or parties. Built-in High-Fidelity Speakers:Equipped with two 2W speakers, professionallytuned for rich sound quality. External Speaker Support:Allows for connection to dual-channel backgroundmusic speakers for a theater-grade audioexperience. Zigbee and BLE Mesh Gateways:Built-in Zigbee, Bluetooth gateway Support one- clickadding Zigbee and Bluetooth sub-device, support RS485 interface Input:100-240V~,50/60HZ Working temp : 0-40°C Working hum :5%-90%RH (non-condensing) Storage : 2GB RAM/16GB ROM Screen :8-inch 1280*800 Audio: Speaker*2+Microphone*2 Wireless Protocol: Wi-Fi/Zigbee3.0/Bluetooth 4.2/BLEmesh System: Android 11 Operation Mode: Touch control/Physical button/Voicecontrol/APP control Product Size:127.5*233.5*38mm(including base) Installation: Standard 86-sized wall boxesSample: $158 10~50 pcs: $153 51~100 pcs: $$14902.6.015 3TPA08-M3A 8 Pro-Asian (Asian standard) 4TPA08-M3A 8 Pro-US (US standard)",gateway control,"[brand:Golden Security, wireless:Zigbee, wireless:WiFi, wireless:Bluetooth/BLE, wireless:BLE Mesh, screen_size:8"", feature:audio, feature:alexa-built-in]",SI-8-PRO-EU,[standard:eu],314000,NGN,0.3,0.1,423900,0,0,,45,standard,,,,Golden Security,TPA08-M3A,158,USD,1500,0.15,0.075,237000,0.35,237000,314000,423900,423900,423900
"8"" Touch Control Panel with tuya","8"" Touch Control Panel with tuya zigbee gateway/BLE mesh gateway+Background Music+built- in Alexa+ IR Built-in)TPA08-M3A 8 Pro-EU (European standard)Integration with Spotify enables users to enjoy avast selection of songs anytime, perfect forrelaxation or parties. Built-in High-Fidelity Speakers:Equipped with two 2W speakers, professionallytuned for rich sound quality. External Speaker Support:Allows for connection to dual-channel backgroundmusic speakers for a theater-grade audioexperience. Zigbee and BLE Mesh Gateways:Built-in Zigbee, Bluetooth gateway Support one- clickadding Zigbee and Bluetooth sub-device, support RS485 interface Input:100-240V~,50/60HZ Working temp : 0-40°C Working hum :5%-90%RH (non-condensing) Storage : 2GB RAM/16GB ROM Screen :8-inch 1280*800 Audio: Speaker*2+Microphone*2 Wireless Protocol: Wi-Fi/Zigbee3.0/Bluetooth 4.2/BLEmesh System: Android 11 Operation Mode: Touch control/Physical button/Voicecontrol/APP control Product Size:127.5*233.5*38mm(including base) Installation: Standard 86-sized wall boxesSample: $158 10~50 pcs: $153 51~100 pcs: $$14902.6.015 3TPA08-M3A 8 Pro-Asian (Asian standard) 4TPA08-M3A 8 Pro-US (US standard)",gateway control,"[brand:Golden Security, wireless:Zigbee, wireless:WiFi, wireless:Bluetooth/BLE, wireless:BLE Mesh, screen_size:8"", feature:audio, feature:alexa-built-in]",SI-8-PRO-AS,[standard:as],314000,NGN,0.3,0.1,423900,0,0,,45,standard,,,,Golden Security,TPA08-M3A,158,USD,1500,0.15,0.075,237000,0.35,237000,314000,423900,423900,423900
"8"" Touch Control Panel with tuya","8"" Touch Control Panel with tuya zigbee gateway/BLE mesh gateway+Background Music+built- in Alexa+ IR Built-in)TPA08-M3A 8 Pro-EU (European standard)Integration with Spotify enables users to enjoy avast selection of songs anytime, perfect forrelaxation or parties. Built-in High-Fidelity Speakers:Equipped with two 2W speakers, professionallytuned for rich sound quality. External Speaker Support:Allows for connection to dual-channel backgroundmusic speakers for a theater-grade audioexperience. Zigbee and BLE Mesh Gateways:Built-in Zigbee, Bluetooth gateway Support one- clickadding Zigbee and Bluetooth sub-device, support RS485 interface Input:100-240V~,50/60HZ Working temp : 0-40°C Working hum :5%-90%RH (non-condensing) Storage : 2GB RAM/16GB ROM Screen :8-inch 1280*800 Audio: Speaker*2+Microphone*2 Wireless Protocol: Wi-Fi/Zigbee3.0/Bluetooth 4.2/BLEmesh System: Android 11 Operation Mode: Touch control/Physical button/Voicecontrol/APP control Product Size:127.5*233.5*38mm(including base) Installation: Standard 86-sized wall boxesSample: $158 10~50 pcs: $153 51~100 pcs: $$14902.6.015 3TPA08-M3A 8 Pro-Asian (Asian standard) 4TPA08-M3A 8 Pro-US (US standard)",gateway control,"[brand:Golden Security, wireless:Zigbee, wireless:WiFi, wireless:Bluetooth/BLE, wireless:BLE Mesh, screen_size:8"", feature:audio, feature:alexa-built-in]",SI-8-PRO-US,[standard:us],314000,NGN,0.3,0.1,423900,0,0,,45,standard,,,,Golden Security,TPA08-M3A,158,USD,1500,0.15,0.075,237000,0.35,237000,314000,423900,423900,423900
"8"" Touch Control Panel with tuya","8"" Touch Control Panel with tuya zigbee gateway/BLE mesh gateway+Background Music+built- in Alexa+ IR Built-in)TPA08-M3A 8 Pro-Asian (Asian standard) Golden ColorIntegration with Spotify enables users to enjoy avast selection of songs anytime, perfect forrelaxation or parties. Built-in High-Fidelity Speakers:Equipped with two 2W speakers, professionallytuned for rich sound quality. External Speaker Support:Allows for connection to dual-channel backgroundmusic speakers for a theater-grade audioexperience. Zigbee and BLE Mesh Gateways:Built-in Zigbee, Bluetooth gateway Support one-clickadding Zigbee and Bluetooth sub-device, support RS485 interface The specification is same as below TPA08-M3A 8 Pro-AsianSample: $158 10~50 pcs: $153 51~100 pcs: $$149",gateway control,"[brand:Golden Security, wireless:Zigbee, wireless:Bluetooth/BLE, wireless:BLE Mesh, screen_size:8"", feature:audio, feature:alexa-built-in]",SI-8-PRO-AS-G,"[standard:as, color:golden]",314000,NGN,0.3,0.1,423900,0,0,,45,standard,,,,Golden Security,TPA08-M3A,158,USD,1500,0.15,0.075,237000,0.35,237000,314000,423900,423900,423900
Smart Control Panel Mini (Scene control + 3-,"Smart Control Panel Mini (Scene control + 3- gang relays + IR Built-in)GS-TPP06 (Wi-Fi & Bluetooth mesh/SigMesh/IR )- WHITE COLORSmart Control Panel Mini  is a 2024 new released smart control panel mini version. It is a multifunctional interactive device that integrates a screen, three physical buttons, three relay channels, and infrared remote control. Specification: Input: 100-240V, 50/60Hz Wireless protocol: WiFi, IR Max load ratings: Tungsten/Incandescent 200W Dimmable CFL/LED 200W Ballast/Fluorescent 200VA Working temper*ature: 0 ℃ ~40 ℃ Working Humidity: 5% ~90% RH non-condensing Product size: 86*86*11.5mm (base excluded) 86*86*35.50mm (base included) Net weight: 152.40g1-19pcs: $45 20-99pcs: $44 100-199pcs: $43.5 200-1000pcs: $39.502.6.010 7GS-TPP06 (Wi-Fi & Bluetooth mesh/SigMesh/IR )- Grey COLOR",gateway control,"[brand:Golden Security, wireless:WiFi, wireless:Bluetooth/BLE, wireless:BLE Mesh]",SI-TPP06-W,[color:white],89450,NGN,0.3,0.1,120750,0,0,,45,standard,,,,Golden Security,GS-TPP06,45,USD,1500,0.15,0.075,67500,0.35,67500,89450,120750,120750,120750
Smart Control Panel Mini (Scene control + 3-,"Smart Control Panel Mini (Scene control + 3- gang relays + IR Built-in)GS-TPP06 (Wi-Fi & Bluetooth mesh/SigMesh/IR )- WHITE COLORSmart Control Panel Mini  is a 2024 new released smart control panel mini version. It is a multifunctional interactive device that integrates a screen, three physical buttons, three relay channels, and infrared remote control. Specification: Input: 100-240V, 50/60Hz Wireless protocol: WiFi, IR Max load ratings: Tungsten/Incandescent 200W Dimmable CFL/LED 200W Ballast/Fluorescent 200VA Working temper*ature: 0 ℃ ~40 ℃ Working Humidity: 5% ~90% RH non-condensing Product size: 86*86*11.5mm (base excluded) 86*86*35.50mm (base included) Net weight: 152.40g1-19pcs: $45 20-99pcs: $44 100-199pcs: $43.5 200-1000pcs: $39.502.6.010 7GS-TPP06 (Wi-Fi & Bluetooth mesh/SigMesh/IR )- Grey COLOR",gateway control,"[brand:Golden Security, wireless:WiFi, wireless:Bluetooth/BLE, wireless:BLE Mesh]",SI-TPP06-G,[color:grey],89450,NGN,0.3,0.1,120750,0,0,,45,standard,,,,Golden Security,GS-TPP06,45,USD,1500,0.15,0.075,67500,0.35,67500,89450,120750,120750,120750
WIFI Smart Rotate Panel R Wall switch,"WIFI Smart Rotate Panel R Wall switch integrates 3-way relayTPR01-B(EU) White colorThis Smart Rotate Panel R adopts RTOS platform, integrates 3-way relay, mainly provides switch in situ replacement, intelligent device control, scene panel functions, standard 86 base, installed in the user's home 86-box, the user can manage and control the home device through the interactive way of knob, screen, button and so on. * Knob Control The knob can be pressed, the knob can be rotated, and the knob screen can be touched. *Devices Control Rich device control entry and diversified control forms, compatible with most TUYA devices. *Scene Control Screen interaction and button interaction can trigger scenes to meet different needs in life. *Feature-rich The application offers a range of features including weather-themed.1-19pcs: $49.9 20-99pcs: $49.8 100-999pcs: $49.5 1000-2999pcs: $48.9 3000pcs or more: $48.5 Specification: • Golden Color TPA08 8 inch smart screen panel with built in Alexa voice",gateway control,"[brand:Golden Security, wireless:WiFi, wireless:Bluetooth/BLE, feature:alexa-built-in]",SI-TPR01-EU-W,"[standard:eu, color:white]",99200,NGN,0.3,0.1,133900,0,0,,45,standard,,,,Golden Security,TPR01-B(EU),49.9,USD,1500,0.15,0.075,74850,0.35,74850,99200,133900,133900,133900
WIFI Smart Rotate Panel R Wall switch,"WIFI Smart Rotate Panel R Wall switch integrates 3-way relayTPR01-B(EU) White colorThis Smart Rotate Panel R adopts RTOS platform, integrates 3-way relay, mainly provides switch in situ replacement, intelligent device control, scene panel functions, standard 86 base, installed in the user's home 86-box, the user can manage and control the home device through the interactive way of knob, screen, button and so on. * Knob Control The knob can be pressed, the knob can be rotated, and the knob screen can be touched. *Devices Control Rich device control entry and diversified control forms, compatible with most TUYA devices. *Scene Control Screen interaction and button interaction can trigger scenes to meet different needs in life. *Feature-rich The application offers a range of features including weather-themed.1-19pcs: $49.9 20-99pcs: $49.8 100-999pcs: $49.5 1000-2999pcs: $48.9 3000pcs or more: $48.5 Specification: • Golden Color TPA08 8 inch smart screen panel with built in Alexa voice",gateway control,"[brand:Golden Security, wireless:WiFi, wireless:Bluetooth/BLE, feature:alexa-built-in]",SI-TPR01-EU-G,"[standard:eu, color:golden]",99200,NGN,0.3,0.1,133900,0,0,,45,standard,,,,Golden Security,TPR01-B(EU),49.9,USD,1500,0.15,0.075,74850,0.35,74850,99200,133900,133900,133900
Smart Fan and light dimmer switch,Smart Fan and light dimmer switch (PC plastic version)GS-X20U- 1L1FWIFI-PC (PC material)1-19pcs: $23.50 20-99pcs: $23.00 100-999pcs: $22.50 1000-2999pcs: $22.00 3000pcs or more: $21.00 11GS-X20U-1L1F- ZIGBEE-PC (PC material)1-19pcs: $24.50 20-99pcs: $24.00 100-999pcs: $23.50 1000-2999pcs: $23.00 3000pcs or more: $22.00,switch / dimmer,"[brand:Golden Security, input_voltage:110-240V, max_power:150W, max_load:300W, WiFi_freq: 2.45GHz]",SI--X20U-1L1F-WIFI-PC,"[material:pc,  wireless:WiFi]",46700,NGN,0.3,0.1,58400,0,0,,45,standard,,,,Golden Security,GS-X20U-1L1F-WIFI-PC,23.5,USD,1500,0.15,0.075,35250,0.25,35250,46700,58400,58400,58400
