sku,name,brand,category,description,unit_cost,currency,msrp,tier_base_discount,tier_plus_discount,volume_breaks,lead_time_days,stock_band,accessories,compat_requires,compat_blocks,bundle_components
MIN-WIFI-SW-1G-T1,1 Gang Wi-Fi Smart Switch (Type 1),Minisim,Switch,"Crystal glass Tuya Wi-Fi switch, Alexa/Google, colors black/white/gold/silver",25000,NGN,25000,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SW-2G-T1,2 Gang Wi-Fi Smart Switch (Type 1),Minisim,Switch,"Crystal glass Tuya Wi-Fi switch, Alexa/Google, colors black/white/gold/silver",26000,NGN,26000,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SW-3G-T1,3 Gang Wi-Fi Smart Switch (Type 1),Minisim,Switch,"Crystal glass Tuya Wi-Fi switch, Alexa/Google, colors black/white/gold/silver",27000,NGN,27000,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SW-4G-T1,4 Gang Wi-Fi Smart Switch (Type 1),Minisim,Switch,"Crystal glass Tuya Wi-Fi switch, Alexa/Google, colors black/white/gold/silver",30500,NGN,30500,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SW-8G,8 Gang Wi-Fi Smart Switch,Minisim,Switch,"Crystal glass Tuya Wi-Fi switch, Alexa/Google, colors black/white/gold/silver",42000,NGN,42000,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SW-SCENE,Scene Wi-Fi Switch,Minisim,Switch,"Crystal glass Tuya Wi-Fi scene switch, Alexa/Google, colors black/white/gold/silver",29500,NGN,29500,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SW-DIM,Dimmer Wi-Fi Smart Switch,Minisim,Switch,"Crystal glass Tuya Wi-Fi dimmer switch, Alexa/Google, colors black/white/gold",34000,NGN,34000,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SW-CURTAIN,Curtain Wi-Fi Smart Switch,Minisim,Switch,"Crystal glass Tuya Wi-Fi curtain switch, Alexa/Google, colors black/white/gold/silver",34000,NGN,34000,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SW-20A-T1,20A Water Heater/AC Switch (Wi-Fi Type 1),Minisim,Switch,"20A crystal glass Tuya Wi-Fi AC/WH switch, Alexa/Google, colors black/white",26000,NGN,26000,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SW-30A-T1,30A Water Heater/AC Switch (Wi-Fi Type 1),Minisim,Switch,"30A crystal glass Tuya Wi-Fi AC/WH switch, Alexa/Google, colors black/white",27000,NGN,27000,0,0,"[]",7,in-stock,"","","",""
MIN-ZB-SW-1G,1 Gang Zigbee Smart Switch,Minisim,Switch,"Crystal glass Tuya Zigbee switch, Alexa/Google, colors black/white/gold/silver",27000,NGN,27000,0,0,"[]",7,in-stock,"","","",""
MIN-ZB-SW-2G,2 Gang Zigbee Smart Switch,Minisim,Switch,"Crystal glass Tuya Zigbee switch, Alexa/Google, colors black/white/gold/silver",28000,NGN,28000,0,0,"[]",7,in-stock,"","","",""
